id,TravelInsurance
0,0.31
1,0.48
2,0.3
3,0.83
4,0.28
5,0.95
6,0.69
7,0.14
8,0.7
9,0.25
10,0.52
11,0.37
12,0.39
13,0.27
14,0.91
15,0.24
16,0.2
17,0.36
18,0.25
19,0.25
20,0.28
21,0.19
22,0.59
23,0.77
24,0.37
25,0.95
26,0.8
27,0.25
28,0.83
29,0.94
30,0.23
31,0.37
32,0.24
33,0.44
34,0.29
35,0.67
36,0.15
37,0.39
38,0.83
39,0.18
40,0.46
41,0.16
42,0.54
43,0.37
44,0.91
45,0.4
46,0.95
47,0.17
48,0.27
49,0.25
50,0.28
51,0.11
52,0.51
53,0.29
54,0.33
55,0.25
56,0.69
57,0.94
58,0.61
59,0.87
60,0.46
61,0.59
62,0.26
63,0.21
64,0.34
65,0.4
66,0.67
67,0.81
68,0.88
69,0.35
70,0.28
71,0.27
72,0.19
73,0.8
74,0.42
75,0.34
76,0.17
77,0.91
78,0.61
79,0.25
80,0.14
81,0.75
82,0.11
83,0.23
84,0.45
85,0.42
86,0.18
87,0.3
88,0.94
89,0.14
90,0.37
91,0.27
92,0.42
93,0.51
94,0.95
95,0.44
96,0.61
97,0.17
98,0.61
99,0.15
100,0.18
101,0.29
102,0.78
103,0.34
104,0.11
105,0.43
106,0.19
107,0.56
108,0.63
109,0.14
110,0.38
111,0.22
112,0.18
113,0.49
114,0.81
115,0.08
116,0.17
117,0.25
118,0.43
119,0.81
120,0.36
121,0.88
122,0.22
123,0.39
124,0.18
125,0.95
126,0.38
127,0.17
128,0.18
129,0.26
130,0.22
131,0.27
132,0.18
133,0.31
134,0.22
135,0.27
136,0.35
137,0.21
138,0.35
139,0.95
140,0.18
141,0.11
142,0.67
143,0.23
144,0.27
145,0.16
146,0.6
147,0.09
148,0.15
149,0.26
150,0.23
151,0.33
152,0.2
153,0.94
154,0.72
155,0.21
156,0.18
157,0.95
158,0.85
159,0.35
160,0.2
161,0.21
162,0.7
163,0.06
164,0.23
165,0.44
166,0.28
167,0.14
168,0.09
169,0.27
170,0.19
171,0.94
172,0.33
173,0.27
174,0.32
175,0.13
176,0.22
177,0.27
178,0.27
179,0.25
180,0.31
181,0.5
182,0.5
183,0.36
184,0.14
185,0.25
186,0.35
187,0.66
188,0.75
189,0.2
190,0.45
191,0.81
192,0.13
193,0.89
194,0.26
195,0.59
196,0.29
197,0.25
198,0.73
199,0.37
200,0.29
201,0.82
202,0.34
203,0.51
204,0.31
205,0.18
206,0.25
207,0.27
208,0.12
209,0.16
210,0.18
211,0.27
212,0.1
213,0.33
214,0.97
215,0.28
216,0.34
217,0.46
218,0.37
219,0.32
220,0.89
221,0.28
222,0.27
223,0.54
224,0.44
225,0.12
226,0.15
227,0.4
228,0.24
229,0.36
230,0.48
231,0.38
232,0.18
233,0.49
234,0.21
235,0.13
236,0.21
237,0.82
238,0.09
239,0.61
240,0.16
241,0.63
242,0.73
243,0.18
244,0.71
245,0.14
246,0.55
247,0.38
248,0.21
249,0.26
250,0.27
251,0.32
252,0.23
253,0.3
254,0.18
255,0.74
256,0.33
257,0.82
258,0.8
259,0.49
260,0.37
261,0.16
262,0.13
263,0.16
264,0.22
265,0.14
266,0.12
267,0.61
268,0.29
269,0.14
270,0.2
271,0.28
272,0.66
273,0.33
274,0.42
275,0.85
276,0.23
277,0.79
278,0.22
279,0.36
280,0.14
281,0.22
282,0.79
283,0.74
284,0.22
285,0.73
286,0.72
287,0.23
288,0.12
289,0.53
290,0.22
291,0.3
292,0.23
293,0.22
294,0.2
295,0.15
296,0.21
297,0.37
298,0.29
299,0.37
300,0.33
301,0.14
302,0.17
303,0.11
304,0.15
305,0.13
306,0.12
307,0.11
308,0.24
309,0.94
310,0.17
311,0.85
312,0.14
313,0.25
314,0.71
315,0.2
316,0.26
317,0.59
318,0.17
319,0.14
320,0.09
321,0.41
322,0.79
323,0.08
324,0.46
325,0.13
326,0.34
327,0.31
328,0.36
329,0.88
330,0.38
331,0.15
332,0.14
333,0.17
334,0.71
335,0.23
336,0.71
337,0.4
338,0.31
339,0.56
340,0.27
341,0.1
342,0.16
343,0.34
344,0.5
345,0.88
346,0.32
347,0.21
348,0.18
349,0.2
350,0.79
351,0.32
352,0.25
353,0.8
354,0.4
355,0.41
356,0.95
357,0.7
358,0.47
359,0.24
360,0.25
361,0.9
362,0.21
363,0.33
364,0.19
365,0.36
366,0.14
367,0.75
368,0.2
369,0.75
370,0.39
371,0.27
372,0.55
373,0.34
374,0.47
375,0.21
376,0.46
377,0.22
378,0.26
379,0.5
380,0.34
381,0.4
382,0.33
383,0.23
384,0.83
385,0.34
386,0.17
387,0.31
388,0.5
389,0.13
390,0.38
391,0.65
392,0.27
393,0.16
394,0.31
395,0.3
396,0.2
397,0.24
398,0.18
399,0.59
400,0.14
401,0.74
402,0.8
403,0.57
404,0.22
405,0.64
406,0.25
407,0.69
408,0.81
409,0.43
410,0.42
411,0.73
412,0.33
413,0.77
414,0.42
415,0.79
416,0.31
417,0.41
418,0.84
419,0.92
420,0.42
421,0.13
422,0.63
423,0.89
424,0.41
425,0.25
426,0.29
427,0.28
428,0.94
429,0.39
430,0.27
431,0.78
432,0.91
433,0.3
434,0.51
435,0.69
436,0.17
437,0.94
438,0.42
439,0.48
440,0.4
441,0.86
442,0.38
443,0.74
444,0.33
445,0.76
446,0.51
447,0.25
448,0.19
449,0.51
450,0.75
451,0.44
452,0.12
453,0.44
454,0.95
455,0.11
456,0.46
457,0.78
458,0.31
459,0.29
460,0.14
461,0.14
462,0.92
463,0.56
464,0.27
465,0.16
466,0.77
467,0.78
468,0.51
469,0.14
470,0.32
471,0.29
472,0.18
473,0.14
474,0.94
475,0.27
476,0.69
477,0.53
478,0.73
479,0.38
480,0.73
481,0.47
482,0.43
483,0.34
484,0.7
485,0.48
486,0.15
487,0.23
488,0.21
489,0.83
490,0.53
491,0.33
492,0.13
493,0.96
494,0.16
495,0.73
496,0.92
